idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
5621,do,0.05,0.0,52,1.5926121532917028,-6.7482474312637795,-5.761086787117852
5622,pp,0.05,0.0,47,1.8734439933300013,-5.4573659029873935,-4.763818436198765
5623,do,0.05,0.0,17,-0.6951768875122069,-8.150841922471017,-7.137567239337497
5624,pp,0.05,0.0,13,1.14109258890152,-4.871291822375674,-4.215794894430372
5625,do,0.05,0.0,7,-0.5558396983146663,-5.777009436578462,-5.119523239135742
5626,pp,0.05,0.0,12,-0.1822823905944828,-5.726709422198209,-4.953266437848409
5627,do,0.05,0.0,18,0.11135777711868311,-5.116231661131888,-5.113647895389133
5628,pp,0.05,0.0,42,2.528411837816239,-4.814321622704014,-4.498859277036455
5629,do,0.05,0.0,20,0.27145694375038154,-6.7109267928383565,-6.609293611844381
5630,pp,0.05,0.0,70,0.684963742494582,-7.7447290651726,-6.613017908732096
5631,do,0.05,0.0,31,0.8309333813190465,-7.00665826363997,-5.982862655321757
5632,pp,0.05,0.0,22,1.7285980176925655,-5.4181229764764955,-4.45102792845832
5633,do,0.05,0.0,9,0.5839717018604276,-5.232703850486062,-4.788803052902222
5634,pp,0.05,0.0,28,-0.0976173949241641,-7.145930085037694,-6.491162215338813
5635,do,0.05,0.0,1,-1.4032983720302585,-6.57652200496558,-5.861794000201755
5636,pp,0.05,0.0,70,0.3779878509044643,-10.394592774998058,-9.046152030097113
5637,do,0.05,0.0,2,-1.2537243139743808,-6.540037004875415,-5.833041077189975
5638,pp,0.05,0.0,12,0.843173083066941,-5.309204982988762,-4.499624832471212
5639,do,0.05,0.0,1,-1.0307586109638214,-5.9182428576729516,-5.1152240302827625
5640,pp,0.05,0.0,70,1.1934270370006566,-8.17565187107433,-8.10286164548662
5641,do,0.05,0.0,32,0.704196510314941,-5.657743737191865,-7.090455945332845
5642,pp,0.05,0.0,65,1.6601298117637633,-8.70555675390995,-7.5582628144158255
5643,do,0.05,0.0,6,-0.17746292591094903,-5.5804411873672946,-4.899113382233514
5644,pp,0.05,0.0,50,2.277813971042634,-6.887325857624863,-6.618704250123765
5645,do,0.05,0.0,16,1.285149698257447,-4.848781010598847,-4.4701651917563545
5646,pp,0.05,0.0,7,0.4733832824230193,-4.461011838912964,-3.945884254243639
5647,do,0.05,0.0,13,0.9708752441406254,-4.812511010603472,-4.642551687028673
5648,pp,0.05,0.0,61,1.9558767426013945,-6.545344339717518,-5.90292977227105
5649,do,0.05,0.0,70,0.5316906905174257,-7.576320732001102,-7.384484979841444
5650,pp,0.05,0.0,11,1.144270491600036,-4.441132374965783,-4.016160212622749
5651,do,0.05,0.0,7,0.37613011598586965,-4.641506260091608,-4.340698944197761
5652,pp,0.05,0.0,70,2.0647608125209818,-8.10638204054399,-6.9148664130104915
5653,do,0.05,0.0,23,2.2013287532329553,-5.006778100042633,-5.148470187187195
5654,pp,0.05,0.0,12,1.0774333298206331,-4.544027871796579,-3.999676479233636
5655,do,0.05,0.0,26,2.0333528220653534,-4.8590259234110516,-4.5458258734809025
5656,pp,0.05,0.0,21,2.952881557941436,-5.718808294065071,-5.3961497094896105
5657,do,0.05,0.0,52,0.5654166150093083,-7.991060152920809,-6.9895197974310985
5658,pp,0.05,0.0,70,1.0887415313720696,-7.416117100282149,-6.826067497995164
5659,do,0.05,0.0,70,0.2927103042602539,-7.424691434340043,-7.361466370688545
5660,pp,0.05,0.0,2,-0.564788235425949,-5.753171893322107,-5.158091134495205
5661,do,0.05,0.0,70,-0.13872394919395425,-8.3226402759552,-7.181314174334208
5662,pp,0.05,0.0,70,0.6472875034809116,-7.5849324862162275,-6.401582362916734
5663,do,0.05,0.0,70,3.395903031826019,-6.731552934646606,-6.9059092919031775
5664,pp,0.05,0.0,26,1.0986618435382844,-4.807565885601622,-4.331973807017008
5665,do,0.05,0.0,53,2.5966887736320494,-5.906053447723389,-6.392090015941196
5666,pp,0.05,0.0,24,1.241746574640274,-6.060657320600567,-5.278564667701721
5667,do,0.05,0.0,42,3.735517535209655,-5.319521297108043,-5.481231556998359
5668,pp,0.05,0.0,51,0.9294178164005285,-8.554379674160119,-7.80385816362169
5669,do,0.05,0.0,2,-1.249093331098556,-6.3242172602451205,-5.61689161989424
5670,pp,0.05,0.0,18,-0.2054310441017151,-6.520778868415139,-5.1636433601379395
5671,do,0.05,0.0,12,-0.752709429264069,-6.29845090490399,-5.361906623840332
5672,pp,0.05,0.0,70,0.9834118723869336,-6.696939766045773,-6.077012059423659
5673,do,0.05,0.0,30,2.1696971905231486,-8.175690886468598,-7.635261450873481
5674,pp,0.05,0.0,9,0.8860683572292327,-5.020003786954013,-4.093864564100901
5675,do,0.05,0.0,26,0.6160444104671479,-6.354859109358354,-5.08324756887224
5676,pp,0.05,0.0,21,2.8343938696384425,-6.810707475199844,-5.315423338943058
5677,do,0.05,0.0,36,3.0421611881256103,-6.171070806907885,-5.376847676436106
5678,pp,0.05,0.0,35,4.045685402154922,-5.704749246077104,-4.97737475766076
5679,do,0.05,0.0,39,2.0889459514617927,-5.997394149953669,-5.5885575612386065
5680,pp,0.05,0.0,42,2.835061641931535,-10.178502480189005,-8.317174495591058
5681,do,0.05,0.0,9,0.16787899374961857,-5.866669854250821,-4.9741029236051775
5682,pp,0.05,0.0,15,0.02668598175048853,-5.863429511677135,-5.057019925117492
5683,do,0.05,0.0,9,-0.8797944104671478,-6.56781001813484,-6.149720366795858
5684,pp,0.05,0.0,13,0.013962259292602752,-6.242629643642541,-5.7547666284773085
5685,do,0.05,0.0,18,-0.9930968081951139,-8.389741987170595,-8.234220499462552
5686,pp,0.05,0.0,70,-0.7014149069786075,-9.502854655005715,-8.930747477213542
5687,do,0.05,0.0,56,0.2451453840732576,-8.363468381130334,-7.372155798806085
5688,pp,0.05,0.0,29,1.535790375471115,-5.000660877516776,-4.396995753712124
5689,do,0.05,0.0,70,0.9714772808551784,-7.923092865221428,-7.019510396321615
5690,pp,0.05,0.0,67,2.4982545554637907,-6.485081216060754,-6.046709201070997
5691,do,0.05,0.0,64,0.2417431044578553,-9.40830164678169,-8.587855264875625
5692,pp,0.05,0.0,15,1.9492077362537383,-6.850423794081717,-5.695725549591912
5693,do,0.05,0.0,25,-0.27115899682044997,-6.597875690460205,-6.4417953279283315
5694,pp,0.05,0.0,13,1.06457093834877,-5.439408657767556,-4.926371579700046
5695,do,0.05,0.0,70,3.1235872447490696,-6.9798164295427725,-6.390414908197191
5696,pp,0.05,0.0,25,2.182088174819947,-7.469766835010413,-6.337674162122938
5697,do,0.05,0.0,42,1.1499148368835446,-5.79814065730933,-5.64757672548294
5698,pp,0.05,0.0,61,1.5032913851737986,-6.848632887637977,-5.705381078190274
5699,do,0.05,0.0,33,2.3573271274566645,-4.485546151074496,-4.244603923956553
5700,pp,0.05,0.0,42,2.5358592414855954,-5.5658017534198185,-4.877671845753988
5701,do,0.05,0.0,48,0.9208574330806734,-6.052931905515266,-5.613022666507297
5702,pp,0.05,0.0,51,1.6426348578929906,-6.28216476873918,-5.171137015024821
5703,do,0.05,0.0,12,-0.6392146050930023,-6.281889599019831,-5.537079260084364
5704,pp,0.05,0.0,11,0.7501519477367395,-4.871870472936919,-4.517341076003181
5705,do,0.05,0.0,37,1.208129501342773,-6.696285496336041,-6.168275454309252
5706,pp,0.05,0.0,70,1.6450357317924489,-8.062826084368156,-7.749806027942234
5707,do,0.05,0.0,20,1.8726344048976893,-5.0630921566125116,-4.345748435126411
5708,pp,0.05,0.0,44,2.2255234038829794,-6.210981090141066,-5.4918900860680475
5709,do,0.05,0.0,63,1.065795111656188,-7.929463846033269,-7.363577244016859
5710,pp,0.05,0.0,70,2.4449860727787023,-8.097949007785681,-7.570984999338786
5711,do,0.05,0.0,35,1.2158416426181802,-9.9099668488358,-7.918132980664571
5712,pp,0.05,0.0,27,1.8047255802154538,-5.486839343562271,-4.606997442245484
5713,do,0.05,0.0,61,0.6044693994522099,-6.398551896124175,-6.531967952516344
5714,pp,0.05,0.0,70,1.575010082721711,-5.686230253450798,-5.088783982064989
5715,do,0.05,0.0,22,1.454368438720703,-5.721000646822381,-5.29300025569068
5716,pp,0.05,0.0,70,1.5620778286457062,-8.05713423237656,-7.719300836986966
5717,do,0.05,0.0,70,0.8407646822929378,-6.20310987848224,-5.899878973431058
5718,pp,0.05,0.0,70,1.8629419624805443,-5.7477198831962815,-5.291543936729431
5719,do,0.05,0.0,29,1.1450683045387269,-8.237684166070187,-5.751474359300402
5720,pp,0.05,0.0,18,0.9810269808769227,-5.393448338364109,-4.685465841823154
5721,do,0.05,0.0,64,-0.10160824775695865,-8.720258689649178,-7.348952632480198
5722,pp,0.05,0.0,5,0.19387860298156756,-5.012624166951035,-4.264929040273031
5723,do,0.05,0.0,1,-1.4343131196498868,-6.281290692994089,-5.758137456576029
5724,pp,0.05,0.0,70,-0.7318819427490233,-9.814143348462654,-8.731710545221965
5725,do,0.05,0.0,70,1.242892541885376,-7.035733790831133,-6.0692915068732365
5726,pp,0.05,0.0,67,1.8006282043457027,-6.228940803354437,-5.352283297644721
5727,do,0.05,0.0,20,-0.6324713563919069,-6.038518385453657,-5.2038321018219
5728,pp,0.05,0.0,70,0.25747287034988275,-10.935607252698956,-10.698544157875908
5729,do,0.05,0.0,10,0.6909321892261504,-4.357400301730994,-3.9433314747280543
5730,pp,0.05,0.0,70,2.035926525592804,-6.233034535610314,-5.631786462995741
5731,do,0.05,0.0,14,-0.7000853693485256,-5.8427568984754155,-5.381203367975023
5732,pp,0.05,0.0,6,-0.9478332316875457,-6.837333225481438,-6.125064788924323
5733,do,0.05,0.0,43,1.3376939558982848,-6.421222134792443,-8.062670628229776
5734,pp,0.05,0.0,70,2.7044683951139445,-5.6732156883586535,-5.025936630037096
5735,do,0.05,0.0,20,1.568542852401733,-4.7521021582863545,-4.266202930609385
5736,pp,0.05,0.0,28,2.0059872472286218,-5.440371667977535,-4.298323867056105
5737,do,0.05,0.0,70,0.4654690420627601,-7.026872736034972,-6.1691876437928945
5738,pp,0.05,0.0,6,-0.026515115499496922,-5.158400250926162,-4.379169172710842
5739,do,0.05,0.0,24,1.6870617902278902,-4.607522227547386,-4.283890962600708
5740,pp,0.05,0.0,21,1.5298184275627138,-5.136892877925526,-4.269757178094652
5741,do,0.05,0.0,7,0.2614093458652498,-4.066200397953843,-3.657804732852512
5742,pp,0.05,0.0,26,1.136560113430023,-6.439920582915797,-4.983758817778694
5743,do,0.05,0.0,9,0.13064559102058393,-5.536765516165531,-4.909867191314698
5744,pp,0.05,0.0,12,1.1732291698455812,-5.060701263312137,-4.165298178460863
5745,do,0.05,0.0,70,0.3549684166908271,-8.13300135496891,-7.680354542202419
5746,pp,0.05,0.0,16,-0.29251524090766967,-5.8967706550251355,-5.355086620648702
5747,do,0.05,0.0,4,-0.6902921783924096,-5.520345148895726,-4.966027172406514
5748,pp,0.05,0.0,6,-0.9220198440551757,-6.450340338909265,-5.699010123146905
5749,do,0.05,0.0,70,1.451712491512298,-7.528243350982666,-7.015474557876587
5750,pp,0.05,0.0,9,0.4516442060470576,-4.943345928192139,-4.367331777678595
5751,do,0.05,0.0,17,0.05292207837104801,-5.672675241123546,-4.799250364303589
5752,pp,0.05,0.0,20,-0.337281104326248,-6.498470023184112,-6.1113446580039135
5753,do,0.05,0.0,21,0.5481442165374748,-6.901539332938917,-7.122352939181858
5754,pp,0.05,0.0,3,-0.4424150753021241,-5.451363429156217,-4.809674957063463
5755,do,0.05,0.0,29,0.9886171925067906,-5.459733951453007,-4.857852901352777
5756,pp,0.05,0.0,39,2.4211459803581237,-4.916516840819156,-4.812826474507649
5757,do,0.05,0.0,22,1.2973208200931552,-5.465819488872182,-4.9273582193586565
5758,pp,0.05,0.0,15,0.9866742455959319,-5.088525787989298,-4.397466418478224
5759,do,0.05,0.0,15,0.3233584606647497,-4.894326403646758,-4.215780410501692
5760,pp,0.05,0.0,28,1.719278738498688,-5.430069290507923,-4.747142844729954
5761,do,0.05,0.0,18,2.661502939462661,-6.3514942920569215,-6.995332331127591
5762,pp,0.05,0.0,65,1.4682460105419155,-7.627084947354866,-6.055711409780714
5763,do,0.05,0.0,15,2.2644467985630037,-5.3718045798215,-6.123983796437582
5764,pp,0.05,0.0,61,3.775368654727936,-4.909336345846003,-4.640746378898621
5765,do,0.05,0.0,11,1.5080432569980617,-4.9208261027480615,-4.711399576399061
5766,pp,0.05,0.0,26,2.0786925613880154,-4.5004319451072,-4.0307197901937695
5767,do,0.05,0.0,24,1.763119070529938,-5.744391879168424,-5.1177760601043705
5768,pp,0.05,0.0,39,2.408158726692199,-5.29722506349737,-4.892673378520541
5769,do,0.05,0.0,56,1.6609815657138824,-7.0123534896157,-6.50575950410631
5770,pp,0.05,0.0,9,0.8875702321529388,-4.458882791345769,-4.019987919595507
5771,do,0.05,0.0,30,2.38127660036087,-5.909087254784324,-5.249021079805162
5772,pp,0.05,0.0,56,3.1887334716320046,-5.249391084728819,-5.189036610391405
5773,do,0.05,0.0,5,0.022479170560837147,-5.659323255943529,-4.940597539477878
5774,pp,0.05,0.0,28,-0.016154397726058534,-7.418771657076749,-7.4989524576399065
5775,do,0.05,0.0,12,1.6907186996936794,-6.157299262827093,-5.451001614994473
5776,pp,0.05,0.0,58,3.450247620344161,-6.607066781593091,-6.214901028739082
5777,do,0.05,0.0,50,2.0628005337715143,-5.78911168647535,-5.431947991583082
5778,pp,0.05,0.0,11,1.1823560762405396,-4.649906386751117,-4.198786560694376
5779,do,0.05,0.0,70,3.219050952196122,-5.849022869630294,-5.280589199066162
5780,pp,0.05,0.0,70,4.547908836603165,-5.731962124506633,-5.578891595204671
5781,do,0.05,0.0,59,1.15010843873024,-6.2146012913097035,-5.487585359149509
5782,pp,0.05,0.0,24,0.9967587530612949,-5.722770696697813,-5.145831963751051
5783,do,0.05,0.0,39,2.2131714200973516,-5.399524499430801,-4.784786110454135
5784,pp,0.05,0.0,19,2.249500727653504,-4.397432763648756,-3.992300217681461
5785,do,0.05,0.0,7,0.9783742344379425,-4.620206879124497,-5.057731355561151
5786,pp,0.05,0.0,18,2.714576808214188,-4.7452886306878295,-4.081932722197639
5787,do,0.05,0.0,67,2.644255896806717,-5.581863195245917,-4.962917680210538
5788,pp,0.05,0.0,54,3.063003455400467,-5.483643408977624,-4.673673205905491
5789,do,0.05,0.0,15,0.9753618919849396,-5.0583771272139115,-4.903977751731873
5790,pp,0.05,0.0,39,3.870563187599183,-7.617553372816606,-8.744695154825846
5791,do,0.05,0.0,27,2.043470329046249,-6.222061462113351,-6.519112536642287
5792,pp,0.05,0.0,43,2.1827487814426423,-11.452732941598603,-10.767217323515151
