key,value
indefinite,a book
indefinite,a cup
indefinite,a store
indefinite,a toy
indefinite,a red ball
indefinite,a nice book
indefinite,some books
indefinite,some balls
indefinite,some store
indefinite,a store that is far away
indefinite,a toy in the room
indefinite,a cup on the table
indefinite,some milk
indefinite,some food
indefinite,a ball in that room
indefinite,cheerios
indefinite,legos
theme,me
theme,her
theme,him
theme,it
theme,them
theme,us
theme,someone
theme,something
theme,mommy
theme,grandpa
theme,grandma
theme,a cat
theme,the cat
theme,a dog
theme,the dog
theme,elmo
theme,bert
theme,a big bear
theme,the big bear
theme,a cute cat
theme,a big dog
theme,the cute cat
theme,the big dog
theme,the bear over there
theme,a bear outside the house
theme,the cat outside the house
theme,the cat over there
theme,a cat outside the house
theme,the dog outside the house
theme,a dog outside the house
theme,the dog over there
theme,daddy
theme,it
theme,something
theme,a ball
theme,the ball
theme,a teddy
theme,the teddy
theme,a book
theme,the book
theme,a cup
theme,the cup
theme,a toy
theme,the toys
theme,a red ball
theme,the red ball
theme,a nice book
theme,some books
theme,some balls
theme,the store that is far away
theme,a toy in the room
theme,the toys in the room
theme,the cup on the table
theme,a cup on the table
theme,some milk
theme,some food
theme,the food
theme,the milk
theme,the food on the table
theme,the balls in the room
theme,a ball in that room
theme,cheerios
theme,legos
theme,a lego
recipient,me
recipient,her
recipient,him
recipient,it
recipient,them
recipient,us
recipient,someone
recipient,something
recipient,mommy
recipient,grandpa
recipient,grandma
recipient,a cat
recipient,the cat
recipient,a dog
recipient,the dog
recipient,elmo
recipient,bert
recipient,a big bear
recipient,the big bear
recipient,a cute cat
recipient,a big dog
recipient,the cute cat
recipient,the big dog
recipient,the bear over there
recipient,a bear outside the house
recipient,the cat outside the house
recipient,the cat over there
recipient,a cat outside the house
recipient,the dog outside the house
recipient,a dog outside the house
recipient,the dog over there
recipient,daddy
recipient,it
recipient,something
recipient,a ball
recipient,the ball
recipient,a teddy
recipient,the teddy
recipient,a book
recipient,the book
recipient,a cup
recipient,the cup
recipient,a store
recipient,the store
recipient,a toy
recipient,the toys
recipient,a red ball
recipient,the red ball
recipient,a nice book
recipient,some books
recipient,some balls
recipient,some store
recipient,a store that is far away
recipient,the store that is far away
recipient,a toy in the room
recipient,the toys in the room
recipient,the cup on the table
recipient,a cup on the table
recipient,some milk
recipient,some food
recipient,the food
recipient,the milk
recipient,the food on the table
recipient,the balls in the room
recipient,a ball in that room
theme,bear over there
theme,cat outside the house
theme,dog outside the house
animate,bear over there
animate,cat outside the house
animate,dog outside the house
recipient,bear over there
recipient,cat outside the house
recipient,dog outside the house
theme,food on the table
theme,toys in the room
theme,balls in the room
theme,cup on the table
inanimate,cheerios
recipient,cheerios
indefinite,cup
theme,cup
recipient,cup
inanimate,legos
inanimate,ball
indefinite,ball
inanimate,a lego
indefinite,book
theme,book
recipient,book
definite,teddy
theme,teddy
recipient,teddy
animate,cat
theme,cat
recipient,cat
indefinite,cat
animate,dog
theme,dog
recipient,dog
indefinite,dog
inanimate,store
recipient,store
indefinite,store
marked,a cat
marked,the cat
marked,a dog
marked,the dog
marked,a big bear
marked,the big bear
marked,a cute cat
marked,a big dog
marked,the cute cat
marked,the big dog
marked,the bear over there
marked,a bear outside the house
marked,the cat outside the house
marked,the cat over there
marked,a cat outside the house
marked,the dog outside the house
marked,a dog outside the house
marked,the dog over there
marked,a ball
marked,the ball
marked,a teddy
marked,the teddy
marked,a book
marked,the book
marked,a cup
marked,the cup
marked,a store
marked,the store
marked,a toy
marked,the toys
marked,a red ball
marked,the red ball
marked,a nice book
marked,some books
marked,some balls
marked,some store
marked,a store that is far away
marked,the store that is far away
marked,a toy in the room
marked,the toys in the room
marked,the cup on the table
marked,a cup on the table
marked,some milk
marked,some food
marked,the food
marked,the milk
marked,the food on the table
marked,the balls in the room
marked,a ball in that room
marked,a lego
unmarked,me
unmarked,her
unmarked,him
unmarked,it
unmarked,them
unmarked,us
unmarked,someone
unmarked,something
unmarked,cheerios
unmarked,grandma
unmarked,mommy
unmarked,daddy
unmarked,elmo
unmarked,bert
unmarked,legos
unmarked,food on the table
unmarked,toys in the room
unmarked,balls in the room
unmarked,cup on the table
unmarked,bear over there
unmarked,cat outside the house
unmarked,dog outside the house
unmarked,cup
unmarked,ball
unmarked,book
unmarked,teddy
unmarked,cat
unmarked,dog
unmarked,store
unmarked,pencils
inanimate,pencils
theme,pencils
recipient,pencils
indefinite,pencils
definite,the pencils
marked,the pencils
theme,the pencils
recipient,the pencils
recipient,food on the table
recipient,toys in the room
recipient,balls in the room
recipient,cup on the table
