lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,11,3,1,pp,0.1,3.5514479700724273,70,-0.45930667059762137,0.1357142857142857,-7.507180024555751,-7.0478733539581295,-1.5384506361825125,0.06285714285714286,-9.173234703200205,-7.634784067017692,-1.5384506361825125,0.06285714285714286,-9.173234703200205,-7.634784067017692
raw,12,3,2,do,0.1,3.130086566607158,54,-0.45957888739449637,0.1357142857142857,-7.508044675418309,-7.048465788023813,-0.5686251405307224,0.12142857142857143,-8.256620409488677,-7.687995268957955,-0.49254018919808523,0.14857142857142858,-7.796417303425925,-7.30387711422784
raw,12,3,2,pp,0.1,2.944080130259195,70,-0.45921969209398544,0.13428571428571429,-7.509262575422015,-7.050042883328029,-1.18015449149268,0.12285714285714286,-7.637434318065643,-6.457279826572963,-1.18015449149268,0.12285714285714286,-7.637434318065643,-6.457279826572963
raw,13,3,3,do,0.05,-0.14145969390869162,10,-0.45860087054116383,0.1357142857142857,-7.505479919569833,-7.046879049028669,-0.37520589896610806,0.25285714285714284,-8.609857280594962,-8.234651381628854,-0.038048686300005234,0.44285714285714284,-6.7979990659441265,-6.759950379644121
raw,13,3,3,pp,0.1,1.8020690170923874,23,-0.4603537470953805,0.1357142857142857,-7.506601073401315,-7.046247326305934,-1.3007015153339931,0.05142857142857143,-6.801042240687779,-5.5003407253537855,-1.2417412073271614,0.03857142857142857,-5.6945569457326615,-4.4528157384055005
raw,14,3,4,do,0.1,2.287457367579142,38,-0.45907534667423794,0.13428571428571429,-7.507289550645011,-7.0482142039707725,-0.4170110825129918,0.22714285714285715,-7.406992552280426,-6.989981469767434,-0.3345924162864685,0.2914285714285714,-7.40839638369424,-7.0738039674077715
raw,14,3,4,pp,0.1,1.953670155207317,34,-0.4594186169760568,0.1357142857142857,-7.505473535401481,-7.0460549184254235,-1.1778769704273768,0.022857142857142857,-7.242075780459813,-6.064198810032436,-1.1000173098700388,0.022857142857142857,-6.26547477722168,-5.165457467351641
raw,15,3,5,pp,0.1,2.7259711615244546,38,-0.4593799195970808,0.1357142857142857,-7.506684469495501,-7.04730454989842,-1.5743115397862026,0.03,-8.509412767887115,-6.935101228100913,-1.1618373485973903,0.03571428571428571,-6.561606277057103,-5.399768928459713
raw,15,3,5,do,0.1,0.7044247730573012,26,-0.46010839257921493,0.1357142857142857,-7.506033598354884,-7.04592520577567,-0.2461716754095895,0.32142857142857145,-9.158719338008336,-8.912547662598746,0.04439875228064401,0.5157142857142857,-6.412125290121351,-6.456524042401995
raw,16,4,1,do,0.01,-0.01704514185587591,16,-0.45878291606903077,0.13428571428571429,-7.507250697272164,-7.048467781203134,-0.588036675453186,0.10142857142857142,-6.471537343433925,-5.883500667980739,-0.7115007778576442,0.07285714285714286,-5.586590752601624,-4.87508997474398
