code_id,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,haap_do,haap_po,haap_do_theme,haap_po_theme,haap_do_recipient,haap_po_recipient
81,90720,1.259937964515214,-149713.1727508146,299440.3455016292,299506.254233462,299426.3455016292,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,90720,1.263851772669843,-149994.51744614157,300003.03489228315,300068.9436241159,299989.03489228315,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,90720,1.2605676028516386,-149758.784007856,299531.568015712,299597.4767475448,299517.568015712,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,90720,1.2633980013656265,-149962.21443769115,299938.4288753823,300004.33760721504,299924.4288753823,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
85,90720,1.2635733070057715,-149974.42777701485,299962.8555540297,300028.76428586245,299948.8555540297,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,90720,1.2637748372931206,-149989.04347288518,299992.08694577037,300057.9956776031,299978.08694577037,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,90720,1.2633999031336276,-149962.3706876746,299938.7413753492,300004.6501071819,299924.7413753492,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,90720,1.2633999031994219,-149962.3706876743,299938.7413753486,300004.65010718134,299924.7413753486,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,90720,1.2637748372794688,-149989.04347288533,299992.08694577066,300057.9956776034,299978.08694577066,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,90720,1.262867846013735,-149924.31376656928,299862.62753313856,299928.5362649713,299848.62753313856,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
90,90720,1.2635733071484647,-149974.4277770148,299962.8555540296,300028.76428586233,299948.8555540296,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,90720,1.263398001487484,-149962.21443769135,299938.4288753827,300004.33760721545,299924.4288753827,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
92,90720,1.260567603388672,-149758.78400785616,299531.5680157123,299597.47674754506,299517.5680157123,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,90720,1.263851772677376,-149994.5174461409,300003.0348922818,300068.94362411456,299989.0348922818,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,90720,1.2599379644824091,-149713.17275081456,299440.3455016291,299506.25423346186,299426.3455016291,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,90720,1.2642296399191109,-150021.93001525878,300057.86003051756,300123.7687623503,300043.86003051756,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
96,90720,1.267159146715045,-150232.03603982262,300478.07207964524,300543.980811478,300464.07207964524,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
97,90720,1.262837838598652,-149921.86452671853,299857.72905343707,299923.6377852698,299843.72905343707,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,90720,1.2667646289743124,-150203.49392603524,300420.9878520705,300486.89658390323,300406.9878520705,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,90720,1.2634870678761945,-149968.77836000736,299951.5567200147,300017.46545184747,299937.5567200147,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
