idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
33,do,0.05,0.0,19,0.7817891991138453,-5.567762626301159,-4.553075491057502
34,pp,0.05,0.0,33,1.4900380349159246,-6.034013080596924,-5.21243691444397
35,do,0.05,0.0,12,0.6639957904815672,-6.142697429656982,-5.5571987761391535
36,pp,0.05,0.0,4,-0.07226007461547823,-5.1050045172373455,-4.225339598125881
37,do,0.05,0.0,7,-0.5315268421173096,-6.147153101545392,-6.2347092628479
38,pp,0.05,0.0,6,0.047842968702316746,-4.856801190520778,-4.197230296664768
39,do,0.05,0.0,1,-0.2790046322345736,-6.176085502451117,-5.321497342321607
40,pp,0.05,0.0,17,2.309981901645661,-4.964506364591194,-4.234217072857751
41,do,0.05,0.0,61,0.7336296355724334,-9.037375392335834,-7.334753041797214
42,pp,0.05,0.0,23,0.6299795258045204,-4.742318718361132,-3.90051032172309
43,do,0.05,0.0,2,-0.3741696214675905,-5.257026328462543,-4.557841314209832
44,pp,0.05,0.0,27,-0.07874772667884677,-7.133588816902854,-5.943998222880893
45,do,0.05,0.0,34,1.1980933928489685,-6.2124724026882285,-6.710813222991096
46,pp,0.05,0.0,15,0.264947508573532,-5.073587882880009,-4.128574493196275
47,do,0.05,0.0,2,-0.12586086988449097,-5.672296717672637,-4.9662763012780085
48,pp,0.05,0.0,62,0.46421503067016623,-5.5942827369227555,-4.995617784394158
49,do,0.05,0.0,7,0.7229201531410219,-5.5902562733852506,-4.931464584668477
50,pp,0.05,0.0,33,1.6750488209724432,-5.95043800238407,-5.134150240156385
51,do,0.05,0.0,51,0.2962460803985598,-7.225801418766831,-7.142808363172743
52,pp,0.05,0.0,14,0.5156101989746089,-5.049347711331917,-4.266371292538113
53,do,0.05,0.0,9,0.8139173412323002,-5.390876352425778,-4.837420299318102
54,pp,0.05,0.0,53,0.3021171593666079,-8.21734507156141,-7.087897417280409
55,do,0.05,0.0,10,0.8970349645614624,-4.489873277779782,-4.321551415655348
56,pp,0.05,0.0,70,1.2776751279830938,-5.8507056655305805,-5.333340734905667
57,do,0.05,0.0,6,0.8053652966022486,-4.525230703931866,-3.944637265470293
58,pp,0.05,0.0,12,0.6422943222522735,-5.1303223783319645,-4.56624636914995
59,do,0.05,0.0,14,0.7348362994194026,-5.971301198728157,-5.534791363610162
60,pp,0.05,0.0,41,0.7791006159782405,-7.294943987239491,-6.703859334521823
61,do,0.05,0.0,23,1.4401227867603295,-5.32350769331961,-4.796054230795966
62,pp,0.05,0.0,53,1.6156986474990847,-5.871485064246437,-5.2446198542912805
63,do,0.05,0.0,28,1.5294773411750802,-5.580214537996234,-5.760985549290975
64,pp,0.05,0.0,21,1.696400910615921,-6.654155283263235,-5.891216717825996
65,do,0.05,0.0,9,0.16190833449363762,-5.416122724070694,-4.836014029714796
66,pp,0.05,0.0,5,-0.0042639696598048005,-5.171929727901112,-4.34186950524648
67,do,0.05,0.0,60,3.9883960545063024,-6.281565206701106,-5.565397283766004
68,pp,0.05,0.0,2,0.8931830620765684,-4.2614001158512,-3.829193351003859
69,do,0.05,0.0,2,-0.45994274854660055,-5.30284242774501,-4.733966816796197
70,pp,0.05,0.0,20,0.3525186252593997,-5.868714448177453,-4.920564818382263
71,do,0.05,0.0,23,0.6972838103771206,-6.2620672775037365,-5.164529342121548
72,pp,0.05,0.0,14,1.1247582066059119,-4.750663286266905,-4.324561439620124
73,do,0.05,0.0,21,0.8986980843544012,-5.646784698601925,-5.162831364737617
74,pp,0.05,0.0,70,1.0225236988067623,-6.043954131097505,-5.217677587933011
75,do,0.05,0.0,6,1.0127710807323451,-4.5155114853020875,-4.065050623151991
76,pp,0.05,0.0,1,-0.36717398285865777,-4.898534453998913,-4.196024741066827
77,do,0.05,0.0,70,1.7118404603004453,-8.446207523345947,-9.024106076028612
78,pp,0.05,0.0,1,-0.10008528351783763,-5.75313579530427,-4.6542094628016155
79,do,0.05,0.0,22,1.687109205722808,-5.722734435399373,-5.403017054663764
80,pp,0.05,0.0,32,2.3813652813434603,-7.057809256062363,-5.851194834709167
81,do,0.05,0.0,58,1.0879740774631497,-8.226409260431925,-7.818148777219984
82,pp,0.05,0.0,61,2.662460614442825,-5.6890027638637655,-5.111518221431308
83,do,0.05,0.0,45,1.1117028057575231,-6.521841291947799,-6.623996432622274
84,pp,0.05,0.0,13,0.41887762069702106,-5.125783293174975,-4.620811033248901
